base_hh_id,settlement,state_name,district_name,tehsil_name,village_name,children_home,children_school,relationship,rationcard_1,rationcard_2,rationcard_3,rationcard_4,rationcard_99,rationcard_66,mother_edu,mother_edu_os,father_edu,father_edu_os,guardian_edu,guardian_edu_os,have_electricity,electricity_hours,electricity_devices_1,electricity_devices_2,electricity_devices_3,electricity_devices_4,electricity_devices_5,electricity_devices_6,electricity_devices_7,electricity_devices_8,electricity_devices_9,electricity_devices_66,electricity_devices_88,electricity_devices_os,smartphonebrand_1,smartphonebrand_2,smartphonebrand_3,smartphonebrand_4,smartphonebrand_5,smartphonebrand_6,smartphonebrand_7,smartphonebrand_8,smartphonebrand_9,smartphonebrand_10,smartphonebrand_11,smartphonebrand_12,smartphonebrand_13,smartphonebrand_88,smartphonebrand_99,smartphonebrand_os,smartphduration_1,smartphduration_2,smartphduration_3,smartphduration_4,smartphduration_5,smartphduration_6,smartphduration_7,featurephduration_1,featurephduration_2,featurephduration_3,featurephduration_4,featurephduration_5,featurephduration_6,featurephduration_7,prevent_smartphone_1,prevent_smartphone_2,prevent_smartphone_3,prevent_smartphone_4,prevent_smartphone_5,prevent_smartphone_6,prevent_smartphone_7,prevent_smartphone_8,prevent_smartphone_9,prevent_smartphone_88,prevent_smartphone_os,knowedutech,buysmartphone,advocateonlinelearning,parent_abletouse_1,parent_abletouse_2,parent_abletouse_3,parent_abletouse_66,e1,e2,base_weight
Uttar Pradesh382,Rural,Uttar Pradesh,Mirzapur,Chunar,Chak Jata,3,3,Father,No,No,Yes,No,No,No,9th to 12th grade,,9th to 12th grade,,,,Yes,17,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,No,72000,.099484444
Uttar Pradesh641,Rural,Uttar Pradesh,Mirzapur,Chunar,Chak Jata,3,1,Father,No,No,Yes,No,No,No,9th to 12th grade,,9th to 12th grade,,,,Yes,16,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,,72000,.099484444
Uttar Pradesh999,Rural,Uttar Pradesh,Mirzapur,Chunar,Chak Jata,3,1,Father,No,No,Yes,No,No,No,1st to 5th grade,,9th to 12th grade,,,,Yes,17,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,No,No,"I haven't used, so can't comment on this",No,No,No,Yes,Yes,70000,.099484444
Uttar Pradesh791,Rural,Uttar Pradesh,Mirzapur,Chunar,Chak Jata,4,4,Father,No,No,Yes,No,No,No,Cannot read and write,,9th to 12th grade,,,,Yes,16,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,,100000,.099484444
Uttar Pradesh429,Rural,Uttar Pradesh,Mirzapur,Chunar,Chak Jata,3,1,Father,No,No,Yes,No,No,No,Cannot read and write,,6th to 8th grade,,,,Yes,16,No,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,No,No,"I haven't used, so can't comment on this",No,No,No,Yes,,80000,.099484444
Uttar Pradesh672,Urban,Uttar Pradesh,Mirzapur,Chunar,Chunar,4,3,Mother,No,No,Yes,No,No,No,Cannot read and write,,9th to 12th grade,,,,Yes,16,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,"I haven't used, so can't comment on this",No,No,No,Yes,No,48000,1.3574102
Uttar Pradesh877,Urban,Uttar Pradesh,Mirzapur,Chunar,Chunar,2,2,Mother,No,No,No,No,No,Yes,9th to 12th grade,,"post-graduation (MA, M.Com, M.Sc. etc.)",,,,Yes,15,Yes,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,,200000,1.3574102
Uttar Pradesh852,Urban,Uttar Pradesh,Mirzapur,Chunar,Chunar,4,3,Mother,No,No,Yes,No,No,No,"graduation (BA, B.com, B.Sc. etc.)",,"graduation (BA, B.com, B.Sc. etc.)",,,,Yes,15,No,No,Yes,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,No,No,,100000,1.3574102
Uttar Pradesh537,Urban,Uttar Pradesh,Mirzapur,Chunar,Chunar,2,2,Father,No,No,Yes,No,No,No,9th to 12th grade,,"graduation (BA, B.com, B.Sc. etc.)",,,,Yes,18,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,No,Yes,No,No,No,Yes,,70000,1.3574102
Uttar Pradesh249,Urban,Uttar Pradesh,Mirzapur,Chunar,Chunar,3,2,Mother,No,No,Yes,No,No,No,1st to 5th grade,,9th to 12th grade,,,,Yes,12,Yes,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,No,No,,85000,1.3574102
Uttar Pradesh860,Urban,Uttar Pradesh,Mirzapur,Chunar,Chunar,2,1,Father,No,No,Yes,No,No,No,9th to 12th grade,,vocational education,,,,Yes,18,No,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,,60000,1.3574102
Uttar Pradesh366,Rural,Uttar Pradesh,Mirzapur,Chunar,Gharwaspur,1,1,Father,No,No,Yes,No,No,No,Cannot read and write,,Cannot read and write,,,,Yes,16,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,No,No,"I haven't used, so can't comment on this",No,No,No,Yes,Yes,80000,.74397057
